id,name,description,count_members,count_posts,count_members
40527789,"Дистанция. Фриланс, удаленная работа","Дистанция - just another brick in the wall. Проект для людей, которые либо ищут удаленную работу, либо уже работают дистанционно, с абсолютным пониманием того, что ежедневно заходить только на одну площадку и черпать оттуда информацию - путь вникуда.<br>Адепты саморазвития, приверженцы хоум-офиса, активные участники оффлайн и онлайн мероприятий - вам с Дистанцией по пути!<br><br>На нашей площадке мы размещаем любопытные вакансии, главным условием которых является возможность работать удаленно.<br>Что значить удаленно? Удаленно = дистанционно. То есть вы можете выполнять свои обязанности, находясь где угодно: на пляже в Майями, сидя в тени сакуры близ Фудзиямы, пропалывая грядку под Рязанью. Главное, чтобы удаленность от офиса не сказывалась на профессионализме.<br><br>П.С. Если вдруг вы обнаружили свою вакансию и не хотите, чтобы она здесь находилась, просто напишите, все исправим)<br><br>П.П.С. Пожалуйста, для связи с работодателями используйте контакты, оставленные в постах.",50055,5375,1
42164067,в челябинске опять идут дожди,Твиттер: https://twitter.com/romabordunov<br>Инстаграм: instagram.com/roma_bordunov,5368,2452,1
50177168,Платиновые Мысли Юных Леваков,Интеллектуальный анархо-сталинизм.<br><br>FAQ:<br>1) Никого не баним.<br>2) Правил нет.<br>3) Для модераторов правил тоже нет - наслаждайтесь баном.,6052,12293,1
72444170,ДИЧ,"Дайв-бар и клуб в районе реки Яузы с аутентичной атмосферой, недорогими ценами и широким музыкальным кругозором.<br><br>Яузская ул., 5<br><br>Часы работы:<br>СР-ЧТ 18.00-00.00<br>ПТ-СБ 18.00-06.00<br><br>тел. 8-916-380-07-04<br><br>Вход строго 18+ и только по оригиналам документов, удостоверяющих возраст. <br><br>Вход на вечерние концерты для несовершеннолетних только в сопровождении близких родственников и только при наличии документов, подтверждающих родство.",4302,487,1
34116496,ВАКАНСИИ ДЛЯ ХОРОШИХ ЛЮДЕЙ (МОСКВА),"Здесь вы можете найти работу, заполучить толкового сотрудника, узнать о крутых грантах и стажировках, проштудировать ""чёрный список"" работодателей. <br>  <br>ХОТИТЕ ПРЕДЛОЖИТЬ ВАКАНСИЮ ИЛИ РЕКЛАМУ? <br>1. Переходите на сайт http://vdhl.ru<br>2. Выберите нужный раздел: ""опубликовать вакансию"" или ""рекламодателям""<br>3. Заполните форму и отправляйте текст на модерацию<br>4. После одобрения администратора - оплачивайте (прайс и реквизиты там же) <br><br>Остались вопросы - пишите i_kontoreva@mail.ru или в личку, как вам удобнее.",215135,10914,1
3967881,FURFUR,Онлайн-журнал для молодых и смелых,125053,16851,1
78378731,батин видак,"добро пожаловать, дружище!<br><br>батя однажды дал мне видак и теперь мы можем смотреть кассеты вместе. здесь нету места картинкам из интернета, только наши кассеты, наши семейные архивы. смотрим на современность и нынешнее поколение через видоискатель старых камер. нас тут много, но места хватит всем! присаживайся и чувствуй себя как дома в нашем видеосалоне!<br><br>если ты тоже погряз в кассетах и сменных аккумуляторах, то не стесняйся и делись своими кадрами с нами через предложку! у тебя полно материала и ты не знаешь, куда его девать? мы будем рады видеть тебя вместе с нами в редакторском составе кем бы ты ни был!<br><br>если батин видак встретил тебя на улице и сделал тебе фотографию, то ты обязательно попадаешь на стену, без этого никак!<br><br>Вапорвейвчик, мальчики походят на бюст Ἀλέξανδρος ὁ Μέγας. <br>Игра в вебпанк плавно переходит на VHS. <br>Чё глитча нет? Картинки норм. Наснимал на камеру с братаном. С воодушевленным лицом, ну и что, что нет носа. <br>Пустословить не мешки ворочать. <br>Замедлил трек не мало и уменьшил битрейт, что скажешь? Эти люди короли контакта и модных пабликов, я знаю! Вставить аудиоряд прямо в видеоклип и никакой цифры! Аутентичные вапорвейв парни двигают тазом, как будто они уже 危険な. Картинки взяты с ленты и даже если Line maker 10.0 — ты, в жилах течет кассетная кровь. Возьми в рот тюльпаны и отцифруй кассетку. Тебе придется потрахаться с платой видеозахвата и софтом, а потом все получится. Вапорвейв для тех, кто хочет показать, что он модный и он докажет это палюбэээ! Вставить аудиоряд прямо в видеоклип и никакой цифры. VHS или Line maker 10.0 эти слова для крутых. Что ты скажешь MACINTOSH PLUS, что ты скажешь リサフランク420 / 現代のコンピュー, ブート?",5221,1817,1
55955185,Sickipedia,"The sickest, rudest, most offensive, inappropriate &amp: politically incorrect jokes &amp: puns — we've got them all!",32821,2228,1
51016572,Десигн,Хуевый графический дизайн.<br><br>Самое охуевшее сообщество.,104389,13157,1
12637219,Европейский Футбол | Обзор Лиги Чемпионов,"Европейский футбол — все, что касается Лиги Чемпионов и европейского футбола в целом.",1076721,36078,1
36661515,Электрофорез,Synth pop/Fuck you<br><br>Скачать: <br>http://rutracker.org/forum/viewtopic.php?t=4114781<br><br>Описание группы <br>http://vk.com/topic-36661515_31249634,5819,404,1
54295855,Подслушано в МГУ,"Здесь вы можете поделиться любыми секретами и ситуациями из жизни, имеющими то или иное отношение к МГУ. Анонимность гарантируется. <br><br>Есть два способа добавить секрет: <br>1. Предложить новость в сообществе. Секрет опубликуется без вашего авторства, само собой. <br>2. Написать на ask.fm/overhearMSU <br><br>Поехали :)<br><br>Орфография авторов сохраняется<br><br>Присылая секрет, вы даёте согласие на его дальнейшее использование и авторскую обработку",41183,6693,2
67210474,пасош,"па́сош <br>гриша драч - ударные<br>кирилл городний - гитара<br>петар мартич - вокал, бас",11244,253,1
45842880,The Foundation,"Финансы всегда были миром больших возможностей и испытаний. Именно поэтому они привлекают целеустремленных и амбициозных людей, привыкших добиваться своего. Людей, которые, достигнув цели, ищут новые горизонты.<br><br>Мы собираем, иногда пишем различные печатные, электронные и видео-материалы, анализируем их и формируем базу того, что должен знать профессионал финансово-экономических специальностей для того, чтобы творить, создавать новое и менять окружающий мир к лучшему.<br><br>Все самое лучшее и интересное - для вас!<br><br>Библиотека The Foundation:<br>https://vk.com/page-45842880_48810747<br>--<br><br>Базовые хэштеги для поиска по стене:<br>#книги <br>#newspaper(s) - газеты и журналы<br>#analytics - различного рода исследования и аналитика по рынку и отраслям<br>#video - видео, в т.ч. учебные<br>#inquiry - вопросы подписчиков<br>#brainteaser - тизеры, загадки и т.д. <br>#offtop - шутим и делимся интересным<br>#association - новости коллег и друзей",14628,7076,1
68022762,FinExecutive,"FinExecutive is the first job-searching and recruiting platform in Russia for professionals in finance, investments, advisory and consulting.<br>FinExecutive was created by a Team of finance professionals with over 25 years of combined experience in investments, corporate finance and advisory.  We deeply understand the needs of job-seekers in these fields.  <br> <br>This is why:<br>Each job submitted for posting undergoes thorough screening.  FinExecutive does not post jobs with low salaries<br>FinExecutive is focused on the niche audience of highly qualified professionals, leading companies and recruiters<br>User interface is simple and functional <br>Search parameters are specifically tailored<br>FinExecutive provides confidentiality settings for job-seekers and employers  <br>Other job websites have broad generic coverage and do not fully reflect the specific requirements of employers and job-seekers in the finance profession. FinExecutive allows to find jobs and candidates in the niche finance/business fields more effectively.",4473,1651,1
76479892,"Hello, icanchoose // выбор карьеры",Мы помогаем вам сделать правильный выбор карьеры.,11077,2612,1
87713253,Paizul Academy,"Качественный контент по финансам, способствующий личностному и карьерному развитию.<br>Миссия - сделать качественное образование доступным для всех желающих.<br><br>#economics@paizulacademy – мировая экономика, микро и макроэкономика:<br>#finance@paizulacademy – финансы и банки:<br>#accounting@paizulacademy - бухгалтерский учет, РСБУ, МСФО:<br>trading@paizulacademy – трейдинг, роботы, рцб, деривативы:<br>quants@paizulacademy – кванты b количественные финансы<br><br>#book@paizulacademy - книги:<br>#biws@paizulacademy - BIWS<br>#guide@paizulacademy - гайды, сборники:<br>#course@paizulacademy - курсы:<br>#webinar@paizulacademy - вебинары:<br>#movie@paizulacademy - фильмы:<br>#event@paizulacademy - офлайн мероприятия:",4232,1533,1
69066312,Международные стажировки Global Talent | Россия,"Global Talent - международная программа стажировок для студентов старших курсов и недавних выпускников ВУЗа, которые хотят получить профессиональный опыт работы в международной среде. <br><br>Данная программа помогает максимально сократить разрыв между опытом и навыками студентов и выпускников и требованиями потенциальных работодателей. <br><br>Наши направления: <br>🔹 Преподавание — Получи совершенно новый опыт преподавания: на английском языке, в новой среде, новым людям, креативно и интерактивно. Освой новые методики, сделай мир немного лучше<br><br>🔹 Маркетинг — Узнай, как маркетинговые инструменты работают на практике: проводи исследования, разработай, внедри маркетинговую стратегию. Помоги компании выйти на новые международные рынки<br><br>🔹 Гостиничный менеджмент — Узнай на практике больше о сферах гостиничного бизнеса и туризма. Знакомься с людьми со всего мира, узнавай о лучших практиках сервиса<br><br>🔹 Start Up — Стань стажером в компании за рубежом и сделай первый шаг на пути к карьере своей мечты.<br>Получи интенсивный профессиональный опыт в стартапе в сферах маркетинга, продаж и управления персоналом<br><br>Принять участие:<br>http://aiesec.ru/gtalentapply<br><br>Подробно узнать о каждом направлении можно на официальном сайте:<br>http://aiesec.ru/students-2/gtalent/",13930,1392,1
14899079,Adindex.ru,У нас только свежая реклама,81078,17194,1
74838,AIESEC в Москве,"AIESEC — это международная, некоммерческая организация, полностью управляемая молодыми людьми. <br><br>История AIESEC в мире началась 65 лет назад, 26 лет назад организация пришла в Россию, тогда же открылось отделение в Москве. На данный момент организация объединяет 86 000 участников из 113 стран. <br><br>_______Чем мы занимаемся?_________<br><br>Реализуя четыре программы (Командный игрок, Лидер команды, Международная программа социальных стажировок, Международная программа профессиональных стажировок), AIESEC развивает глобальных лидеров.<br><br>На наш взгляд, глобальный лидер – это человек, который обладает следующими чертами: глобальное мышление, которое позволяет работать в мультикультурной среде, предприимчивость – умение находить решения и использовать все возможности. И, наконец, глобальный лидер – это гражданин мира, который думает о ценности, которую он приносит обществу вокруг него.   <br><br> В этой группе вы можете найти самую актуальную информацию о возможностях для молодёжи от AIESEC Москва.",10742,3663,1
30037045,Intraday. Financial digest.,"Financial digest.<br><br>Краткое содержание финансовых новостей. Авторские шутки, комментарии.",8378,10816,1
91453124,Data Science,"Публикуем ссылки на самые интересные статьи и новости. Здесь можно спросить совет, поговорить о перспективах, поучаствовать в дискуссиях. Ищем людей, которые заняты чем-то интересным в науке о данных — предлагайте новости и рассказывайте о своих проектах!",2171,475,1
33393308,Стартапы и бизнес,"vc.ru – крупнейшая в рунете площадка для предпринимателей нового поколения. Мы пишем о стартапах, растущих бизнесах, новых моделях заработка, неординарных героях со всего мира и технологиях роста.",530774,20077,1
32342123,Societe Financiers,"Societe Financiers (Сосьетé Финансьé) - это открытое сообщество финансистов, цель которого обмениваться профессиональным опытом, получать новые знания и навыки в финансовой сфере, а также быть в курсе последних экономических новостей.<br><br>We are the leader in VK's financial education space.<br><br>Библиотека: http://goo.gl/l1qL9W / #sf_library<br>Книги для начинающих: http://goo.gl/5ZEIKd<br>Аналитика: #sf_ec_news<br>Интересно: #sf_learning<br>Рисерчи: #sf_research<br>Юмор: #sf_funny<br>Помощь: #sf_help<br>Журналы : #sf_reading<br><br>Все материалы только для ознакомления!",14670,6796,1
67401618,Вычислительная экономика,"Здесь собираются интересные ссылки, программы, статьи, книги и онлайн-курсы по темам использования данных в общественных науках.<br><br>Вы хотите изучать анализ данных, но не знаете, с чего начать? Пройдите последовательности курсов:<br>Анализ данных от университета Джона Хопкинса (R)<br>https://www.coursera.org/specialization/jhudatascience/1<br>Анализ данных от разных университетов, подборка (R, Python)<br>http://www.mysliderule.com/data-analysis<br>Лекции и книга Тревора Хасти по введению в машинное обучение:<br>http://www.r-bloggers.com/in-depth-introduction-to-machine-learning-in-15-hours-of-expert-videos/<br><br>Python для эконометрики Кевина Шепарда: http://www.kevinsheppard.com/Python_for_Econometrics<br><br>Совершенно необходимый и бесплатный софт:<br>R: http://cran.r-project.org/<br>RStudio: https://www.rstudio.com/<br>Anaconda: https://store.continuum.io/cshop/anaconda/<br>Spyder: http://code.google.com/p/spyderlib/<br>Dynare: http://www.dynare.org/<br>GNU Octave: https://www.gnu.org/software/octave/<br>NetLogo: https://ccl.northwestern.edu/netlogo/<br>Gephi: http://gephi.github.io/<br>GRASS GIS: http://grass.osgeo.org/",3752,217,1
32943546,Журнал «Нож»,Журнал «Нож» — оружие интеллектуала,91676,7214,1
67490365,Amazing GoPro,"Фан-сообщество любителей GoPro с лучшими фото и видео, снятыми на экшн-камеры.",791905,4454,1
9892340,Хастл ОпенЭир на Набережной,"Парные танцы Хастл (дискотека и обучение с нуля) на Набережной Москва-реки в Нескучном Саду ЦПКиО Парка Горького под Андреевским мостом на Пушкинской Набережной. Ежедневно при хорошей погоде с 19:00 до 23:00.<br><br>open-airs.ru/calendar - всегда самые точные данные о дискотеках и занятиях, будет или не будет, прогноз погоды, диджеи, целый календарь и самая полная и самая актуальная информация. Отсюда пляшем.<br><br>Правила данной группы вк: vk.cc/3z0YRY<br><br>Фотографам: vk.cc/2qozwL<br><br>СМС-уведомление о дискотеках и/или занятиях (подписаться, отписаться): open-airs.ru/sms<br><br>Лучшее привлечение друзей на дискотеку и занятия - это репост из этой группы и личные сообщения!<br><br>Стоимость дискотеки: 200р (можно больше или меньше (по желанию и не в обязательном порядке))<br><br>Где находится? http://vk.com/page-9892340_3696325<br><br>Онлайн веб трансляция: open-airs.ru/online<br><br>""Запишись на занятия: 1hustle.ru/open или +7 495 777 21 23""<br><br>Забытые вещи: vk.com/topic-9892340_31664733<br><br>Поиск по стене группы: vk.com/wall-9892340?search=1<br><br>Хэш-тэги:<br>#open_info<br>#open_music<br>#open_video<br>#open_fun<br>#open_vote<br>#Анонс@openairs1<br>#Хастл_ОпенЭйр<br>#опенсамоорг",17184,6356,1
15755094,РИА Новости,"Официальная страница российского агентства международной информации «РИА Новости». <br><br>Агентство РИА Новости воспринимает точность как главный принцип работы журналиста и передает только сбалансированную и объективную информацию.<br><br>Следуйте за РИА Новости, чтобы быть в курсе ключевых новостей регионального, федерального и международного масштаба. <br><br>У нас принято общаться в рамках заданной темы. Простите нас заранее, но любой оффтопик мы удалим без предупреждения. Подробнее об этом: http://vk.com/topic-15755094_28764256",1735309,26724,1
16347673,SEOnews.ru,"SEOnews.ru - первое в Рунете обновляемое ежедневно отраслевое интернет-издание, посвященное поисковой оптимизации (SEO) и интернет-рекламе.",18865,5924,1
23403635,Real Madrid CF Fans | Реал Мадрид,"Добро пожаловать в самое большое сообщество о футбольном клубе ""Реал Мадрид""  ""ВКонтакте"".<br>Подпишись и будь в курсе всех новых событий из жизни Королевского клуба! С вступлением в наше сообщество, Вы автоматически соглашаетесь с действующими правилами сообщества: vk.com/page-23403635_44117942<br><br>Наш Twitter: twitter.com/VK_RM_news<br>Наш Instagram: instagram.com/vk_rm_news<br><br>ТехПоддержка сообщества: vk.com/floperez",803890,43306,1
25232578,РБК,РБК — самый популярный сайт новостей<br>на русском языке,486294,39515,1
26323878,Чарльз Буковски,"Чарльз Буковски - американский писатель и поэт, многие его произведения экранизировались.<br>На могиле своей он просил написать<br>единственное — DON'T TRY .Чарльз Буковски умер в 1994 году, в возрасте 73 лет, состоятельным, известным, но ничуть не изменившим себе. Именно поэтому автобиография, написанная им вскоре после публикации первого романа ""Почтамт"" (""Post office"") (за 20 лет до смерти), никогда не переписывалась, поскольку в его жизни практически ничего не изменилось. Он просто сказал, что должен был сказать. И отвалил.",102889,2033,1
30738633,ПФК ЦСКА Москва,"Дата основания: 27 Августа 1911<br>Цвета клуба: красно-синие<br>Прежние названия:<br>1911—1923 год — Общество любителей лыжного спорта (ОЛЛС).<br>1923—1928 год — Опытно-показательная площадка Всевобуча (ОППВ).<br>1928—1951 год — Спортивный клуб Центрального дома Красной армии (ЦДКА).<br>1951—1957 год — Спортивный клуб Центрального дома Советской армии (ЦДСА).<br>1957—1960 год — Центральный спортивный клуб Министерства обороны (ЦСК МО).<br>1960—1994 год — Центральный спортивный клуб армии (ЦСКА).<br>С 1994 года — Профессиональный футбольный клуб ЦСКА (ПФК ЦСКА)<br>Достижения:<br>Чемпион СССР – 1946, 1947, 1948, 1950, 1951, 1970, 1991<br>Чемпион России – 2003, 2005, 2006, 2012/2013, 2013/2014<br>Обладатель Кубка СССР – 1945, 1948, 1951, 1955, 1990/1991<br>Обладатель Кубка России – 2001/2002, 2004/2005, 2005/2006, 2007/2008, 2008/2009, 2010/2011, 2012/2013<br>Обладатель Суперкубка России – 2004, 2006, 2007, 2009, 2013, 2014<br>Обладатель Кубка УЕФА – 2005<br>Founded: 27 August 1911<br>Team colours: red-blues<br>Previous names of the club:<br>1911–1922 – Amateur Society of Skiing Sports (OLLS)<br>1923 – Experimental &amp: Demonstrational Playground of Military Education Association (OPPV)<br>1924–1927 – Experimental &amp: Demonstrational Playground of Military Administration (OPPV)<br>1928–1950 – Sports Club of Central House of the Red Army (CDKA)<br>1951–1956 – Sports Club of Central House of the Soviet Army (CDSA)<br>1957–1959 – Central Sports Club of the Ministry of Defense (CSK MO)<br>1960–Present — Central Sports Club of Army (CSKA)<br>Honours:<br>Soviet Top League – 1946, 1947, 1948, 1950, 1951, 1970, 1991<br>Russian Premier League – 2003, 2005, 2006, 2012/2013, 2013/14<br>Soviet Cup – 1945, 1948, 1951, 1955, 1990/1991<br>Russian Cup – 2001/2002, 2004/2005, 2005/2006, 2007/2008, 2008/2009, 2010/2011, 2012/2013<br>Russian Super Cup – 2004, 2006, 2007, 2009, 2013, 2014<br>UEFA Cup – 2005",439032,13166,1
31157632,Эрнесто Заткнитесь,-------<br><br>Заходите почаще и критикуйте пожёстче,25060,420,1
31222787,Philosophy,,14,21,1
34215577,Подслушано,"Здесь только то, что присылают наши читатели.<br><br>Поделиться откровением совершенно анонимно можно только с помощью нашего сайта http://ideer.ru/secrets/add/ или мобильного приложения.<br><br>«Подслушано» - социальный развлекательный проект, в котором люди делятся каждый день своими секретами, откровениями и жизненными ситуациями анонимно перед огромной аудиторией. Добро пожаловать!<br><br>Если вы впечатлительны и высокоморальны, просим вас не читать тот контент, который можно увидеть на стене сообщества, лучше сразу закройте эту страницу и не возвращайтесь сюда никогда :) <br><br>Здесь особенная атмосфера и эмоции от прочитанного здесь очень разнятся.<br><br>Рекомендуемый возраст 18+ <br><br>Зачастую нас стоит читать между строк и никогда во время еды. <br><br>Мнение редакции не всегда совпадает с мнением авторов.",3072573,58705,1
34486691,Summer Of Haze,"∞ Summer Haze (born 9 July 1972, in Philadelphia, United States) is a Pornographic Actress and a Professional Wrestler ∞<br><br>Booking:<br><br>ssaburov@gmail.com  <br>http://vk.com/sergey.saburov<br><br>∞ Smok◄ Wee► E▼ery Божий D▲y ∞",32066,33,1
36395105,Тони Сэффо,Немного underground'а<br>Немного битмейка.<br>,12,19,1
39911616,Omar Momani,,98818,1988,1
42556983,ЦМФ,Подробнее о ЦМФ: http://www.slideshare.net/CMFMSU/20150825-cmf-fall-2015-presentation<br><br>Тэги:<br>#cmf_news #cmf_study<br>#cmf_library #cmf_summer,4911,246,1
43621960,podval capella,"подобно полотнам сальвадора дали. <br>ты видишь то, что видишь, <br>но смысл скрыт внутри<br> <br>автор:<br>https://vk.com/podvalcapella<br>саундклауд:<br>https://soundcloud.com/podval-capella",100767,243,1
43741794,БИРЖА TourDom.ru: билеты и туры по низким ценам,"Биржа Tourdom.ru – здесь туроператоры и крупные агенты авиакомпаний делятся своими конфиденциальными спецпредложениями с профессионалами розничного рынка. А вы можете оставить заявку на подбор билетов или туров: http://vk.com/topic-43741794_29383039.<br><br>Если Вы не нашли подходящий вариант спецпредложения на БИРЖЕ, то заполните заявку в специальной теме по ссылке http://vk.com/topic-43741794_29383039 . В заявке нужно указать:<br>1. Тип путешествия (пляж, экскурсии, горные лыжи, круиз и др.)<br>2. Когда вы собираетесь поехать?<br>3. В каком составе<br>4. Укажите город, где вы находитесь.<br><br>Для обычного человека – это тоже полезное место, чтобы отловить чартерные билеты или горящие туры, существующие в ограниченном количестве, а возможно даже в эксклюзиве у Tourdom.ru.",19242,4723,1
43761490,strtp.ru – юристы для стартапов,"В 2011 году несколько преподавателей и сотрудников юридического факультета МГУ создали юридический центр, специализирующийся на технологическом бизнесе.<br><br>Наша организация является некоммерческой. Мы стараемся распространять знания, которые добываем для наших клиентах. Выпустили несколько книг и море статей о стартапах.<br><br>Сокращаем разрыв между правовой осведомленностью инвесторов и стартаперов в России :-)",144,71,1
45020707,Growth Driver,"Международный чемпионат студентов по корпоративным финансам Growth Driver является уникальным для России образовательным проектом.<br><br>Участвуя в нем, студенты выпускных курсов бакалавриата (специалитета) могут продемонстрировать топ-менеджменту инвестиционных банков, консалтинговых компаний и компаний реального сектора свои знания в предметной области корпоративных финансов, а также умение готовить презентации, обосновывать и защищать сделанные расчеты.",450,73,1
47206871,Взрывные аудиокниги,"****Обновления Каждый день.****<br>Лучшие аудиокниги для вашего развития, личного досуга и роста. Здесь вы найдете аудиокниги по психологии, созданию и управлению бизнесом, и многое другое.<br><br>Здесь можно скачать аудиокниги бесплатно.<br><br>аудиокниги бесплатно<br>бесплатные аудиокниги<br>слушать аудиокниги",458046,5979,1
48539843,TRIP secrets | секреты путешествий,"tripsecrets.ru —  если вы хотите постоянно путешествовать и узнавать новое.<br><br>●Здесь можно найти все тайные и не тайные способы, с помощью которых можно  путешествовать и при этом особо денег не тратить.<br><br>►Путешествие —  это не поездка куда-то. Это поиск своего пути.<br>__________________________________<br>Поделиться лайфхаками или своей историей, пишите сюда: goo.gl/SQXeqI",51927,2630,1
